user_id,first_name,last_name,phone,address,city_id
1,Marsito,Zulaika,+62-400-348-9200,Gang Jend. Sudirman No. 765,3172
2,Jumari,Najmudin,085 300 9537,Jl. Erlangga No. 6,3471
3,Hesti,Nuraini,+62-70-907-9150,Jalan Sukajadi No. 4,6471
4,Cawuk,Handayani,(039) 927-2694,Jl. Cihampelas No. 6,3174
5,Zizi,Kuswandari,+62 (0565) 511-0317,Jl. Merdeka No. 7,3172
6,Laksana,Waskita,+62 (0979) 730-6930,Jl. Dr. Djunjunan No. 9,3175
7,Kasim,Budiman,+62-0250-768-8031,Gg. Rajiman No. 043,3173
8,Dimaz,Simbolon,+62-0831-951-8141,Jl. Bangka Raya No. 71,3471
9,Labuh,Oktaviani,+62-0078-146-1976,Jl. Asia Afrika No. 28,3273
10,Farah,Uwais,+62 (0143) 832-7314,Gang Rumah Sakit No. 30,3173
11,Clara,Nugroho,+62 (0510) 543-1851,Gang Pasir Koja No. 755,3175
12,Prayoga,Sihombing,+62-23-369-9288,Gang KH Amin Jasuta No. 792,3175
13,Puji,Kurniawan,+62 (0721) 279 2315,Jalan Monginsidi No. 345,3173
14,Dono,Maheswara,+62 (617) 718-4870,Gang Ciwastra No. 40,3175
15,Cemani,Prabowo,(0923) 075 3604,Jl. Ahmad Yani No. 81,3573
16,Citra,Prasasta,0889363317,Jalan Ronggowarsito No. 4,6471
17,Lasmono,Hardiansyah,+62-85-069-7943,Jalan Gardujati No. 060,3578
18,Nalar,Natsir,+62 (0919) 575 6516,Gang Cikutra Timur No. 466,3573
19,Halim,Lailasari,+62-384-718-3137,Jl. Sukajadi No. 00,3471
20,Karsa,Rahmawati,+62 (077) 104-5083,Gg. Monginsidi No. 1,3578
21,Zahra,Padmasari,+62 (66) 364-4252,Jalan W.R. Supratman No. 0,3573
22,Qori,Wibowo,(0965) 674 2922,Jl. Ahmad Dahlan No. 3,3173
23,Ian,Fujiati,+62-321-812-2122,Jalan Ciwastra No. 809,6471
24,Gamani,Winarsih,+62 (15) 942 6485,Jl. M.H Thamrin No. 70,1375
25,Aditya,Kuswandari,+62 (0109) 737 3835,Jl. Pasteur No. 2,3175
26,Kunthara,Kuswandari,080 650 6881,Gang Jayawijaya No. 3,3578
27,Jaiman,Simbolon,+62 (0558) 539-8821,Gang Veteran No. 8,6471
28,Ira,Haryanto,+62-0884-655-2549,Jl. H.J Maemunah No. 1,6472
29,Bakiadi,Waluyo,+62-0340-216-2494,Gang Pacuan Kuda No. 291,6472
30,Bahuwarna,Dongoran,+62 (42) 509-7504,Gang Pasir Koja No. 416,6472
